slate,universe,signal,lookback,skip,weights,buffer,cadence,weighting,dir,id,pnl,total_return,cagr,sharpe,max_drawdown,turnover_pa,costs,round_trips,names_ever_held,accuracy,gain_to_loss,bench_ew_return,band_sigma,band_percentile,risk_adj_percentile,z_vs_frame_v0,stress_return,duplicate_of
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,3/1/1,False,monthly,drift,output/v1/w3_monthly_drift,WGT w3 monthly/drift,52210356.231465966,5.221035623146596,0.4417212043446268,1.8281789420532522,-0.32653933236084465,8.7675737973124,1625648.361329085,250.0,,0.52,2.141039095377364,,7474093.454994861,,,-5.710000560524956,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,3/1/1,False,monthly,reset,output/v1/w3_monthly_reset,WGT w3 monthly/reset,52662801.89698804,5.266280189698804,0.443813643509251,1.870883988017939,-0.3366153533172913,10.072448200156977,1939919.7745029423,250.0,,0.52,1.975061319525202,,7470579.2460306175,,,-7.360473964168888,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,3/1/1,False,quarterly,drift,output/v1/w3_quarterly_drift,WGT w3 quarterly/drift,50893380.386953875,5.089338038695388,0.4355604737843475,1.792986760191746,-0.3163909911528223,4.3055149001689195,800460.9073118743,123.0,,0.6585365853658537,1.5104757073095534,,8631304.873078115,,,-4.111095549799621,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,3/1/1,False,quarterly,reset,output/v1/w3_quarterly_reset,WGT w3 quarterly/reset,56147717.48624586,5.6147717486245865,0.4595378832768251,1.9362279817438721,-0.3137359997925805,4.762130663634313,957996.9748327776,123.0,,0.6747967479674797,1.3580803478767864,,8616185.287543843,,,-3.6558090435231767,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,3/1/1,False,weekly,drift,output/v1/w3_weekly_drift,WGT w3 weekly/drift,39948932.206472866,3.9948932206472865,0.3797516757777868,1.5649966997681768,-0.32282164002544567,24.63906264388321,3553803.257938553,677.0,,0.4638109305760709,2.014237853599402,,5075941.826760431,,,-8.849594995701672,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,3/1/1,False,weekly,reset,output/v1/w3_weekly_reset,WGT w3 weekly/reset,38614813.94751453,3.8614813947514524,0.3722960191056808,1.5550830529706585,-0.33279789872136445,27.849291757055386,4013427.312187521,677.0,,0.46971935007385524,1.8749685944048815,,5081177.876697245,,,-12.060064972186098,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,6/1/1,False,monthly,drift,output/v1/w6_monthly_drift,WGT w6 monthly/drift,72111637.3200024,7.211163732000241,0.5240745231063453,2.0797732125465553,-0.31423057526614595,7.291648627947791,1556769.683903844,207.0,,0.5797101449275363,2.1733265456121362,,7474093.454994861,,,-3.047298895316767,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,6/1/1,False,monthly,reset,output/v1/w6_monthly_reset,WGT w6 monthly/reset,78594501.52782103,7.859450152782104,0.5474304392433611,2.218701284317578,-0.3042390821807168,8.524917926509026,1963394.3930100058,207.0,,0.5845410628019324,1.998034144522359,,7470579.2460306175,,,-3.8892973958175894,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,6/1/1,False,quarterly,drift,output/v1/w6_quarterly_drift,WGT w6 quarterly/drift,57055183.1589889,5.70551831589889,0.46352343321155387,1.8364497399622206,-0.33299255512449455,4.065224727903928,733316.5864512685,117.0,,0.6666666666666666,1.7065277069025957,,8631304.873078115,,,-3.397205487677694,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,6/1/1,False,quarterly,reset,output/v1/w6_quarterly_reset,WGT w6 quarterly/reset,63069390.24208549,6.306939024208549,0.48889961141417326,1.9613411257738984,-0.3328643387669986,4.553187930577636,878339.0287643726,117.0,,0.6666666666666666,1.6220727247269273,,8616185.287543843,,,-2.852475256604031,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,6/1/1,False,weekly,drift,output/v1/w6_weekly_drift,WGT w6 weekly/drift,58028850.94733307,5.802885094733306,0.4677520467087144,1.8567116476809196,-0.34016215999668786,19.721849820820832,3730192.2107155565,548.0,,0.4908759124087591,2.022295729843482,,5075941.826760431,,,-5.287710451331475,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,6/1/1,False,weekly,reset,output/v1/w6_weekly_reset,WGT w6 weekly/reset,63173252.928332,6.3173252928332,0.48932293268924676,1.9636440585474606,-0.344084909719348,22.988313676579377,4679329.69139546,548.0,,0.5,1.8841338586684109,,5081177.876697245,,,-7.226847246539301,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,8/1/1,False,monthly,drift,output/v1/w8_monthly_drift,WGT w8 monthly/drift,76531661.69101179,7.653166169101178,0.5401513074954367,2.145124980757761,-0.32747150870760244,6.966979583225323,1680679.0456355044,198.0,,0.5959595959595959,2.0566689190010097,,7474093.454994861,,,-2.4559195664891993,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,8/1/1,False,monthly,reset,output/v1/w8_monthly_reset,WGT w8 monthly/reset,83978364.88307886,8.397836488307886,0.5658093007260319,2.2846823723195704,-0.32359336898391633,8.244877184803785,2117964.2747275415,198.0,,0.5959595959595959,1.9159076957364032,,7470579.2460306175,,,-3.1686219062806216,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,8/1/1,False,quarterly,drift,output/v1/w8_quarterly_drift,WGT w8 quarterly/drift,59931455.551127195,5.9931455551127195,0.4758771948739444,1.934911176308163,-0.34373959726077974,3.7727174427431667,735666.2316105422,110.0,,0.6545454545454545,1.7819285938083755,,8631304.873078115,,,-3.063968226981496,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,8/1/1,False,quarterly,reset,output/v1/w8_quarterly_reset,WGT w8 quarterly/reset,60454037.7074649,6.04540377074649,0.4780779185589372,1.951245827389319,-0.3450574814319519,4.322086583628354,839868.5305060833,110.0,,0.6545454545454545,1.6461714308586826,,8616185.287543843,,,-3.1560147520233692,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,8/1/1,False,weekly,drift,output/v1/w8_weekly_drift,WGT w8 weekly/drift,66426126.5613109,6.6426126561310905,0.5023439135489995,1.9719014968098527,-0.32533747291456216,17.804499097040146,3624932.627858023,494.0,,0.49190283400809715,2.2074235600860614,,5075941.826760431,,,-3.6333818753601568,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,8/1/1,False,weekly,reset,output/v1/w8_weekly_reset,WGT w8 weekly/reset,73545242.39282548,7.354524239282549,0.5293631981414868,2.097226837926945,-0.3327303883053928,21.00610322916605,4696580.700949318,494.0,,0.5040485829959515,2.0370373487477664,,5081177.876697245,,,-5.185590334030807,,
